R1-PINH,69.38,53.47,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R10,52.49,12.59,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_BAT,42.96,60.25,0.00,200,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH1,169.79,12.61,180.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PWRUSB,5.46,12.62,90.00,100K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2,156.49,34.47,90.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH,69.59,49.57,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,159.77,43.29,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,149.94,60.73,180.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,40.77,53.58,90.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH1,169.55,24.01,180.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,160.57,34.72,90.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,163.73,43.41,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,48.19,12.95,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,43.89,12.87,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,39.49,12.79,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,35.19,12.71,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,31.09,12.63,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,65.15,106.56,0.00,BUTTON_CUSYOMV1BUTON,MYBUTTON
R_BOOT,46.83,102.97,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,83.12,32.14,0.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,22.26,101.99,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,34.93,4.17,180.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,63.41,102.43,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,69.86,44.19,180.00,ESP32_WROVER_BME680_BME680BME,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,151.81,34.16,90.00,,SJ
TP1,2.02,61.19,0.00,TPMODEL,TP20R
TP10,2.02,18.41,0.00,TPMODEL,TP20R
TP11,2.02,26.19,0.00,TPTP20R,TP20R
TP12,2.02,13.71,0.00,TPMODEL,TP20R
TP13,2.02,6.51,0.00,TPMODEL,TP20R
TP14,2.02,2.71,0.00,TPTP20R,TP20R
TP15,2.02,10.41,0.00,TPMODEL,TP20R
TP16,2.22,99.49,0.00,TPMODEL,TP20R
TP17,6.34,2.12,0.00,TPMODEL,TP20R
TP2,2.02,65.29,0.00,TPMODEL,TP20R
TP3,2.02,68.99,0.00,TPMODEL,TP20R
TP4,2.02,76.39,0.00,TPTP20R,TP20R
TP5,2.22,102.49,0.00,TPTP20R,TP20R
TP6,2.22,105.19,0.00,TPTP20R,TP20R
TP7,2.22,108.38,0.00,TPMODEL,TP20R
TP8,2.02,72.79,0.00,TPMODEL,TP20R
TP9,2.02,22.49,0.00,TPMODEL,TP20R
U1,50.39,40.16,0.00,"W25Q512JVEIQ""",SON127P600X800X80-9N
U2,16.16,44.60,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,80.20,39.85,90.00,DS3231SN#DS3231,SOIC127P1032X265-16N
U4,80.07,56.72,0.00,MAX17048G+T10MAX170,SON50P200X200X80-9N
